# ==============================================================================
# Signal samples
# ==============================================================================

# H125
# ------------------------------------------------------------------------------

PowhegPy8_NNLOPS_ggH125     mc16_13TeV.343981.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam
Pythia8_WH300               342262
Pythia8_WH400               342263
Pythia8_WH600               342265
Pythia8_WH800               342266
Pythia8_WH1000              342267
Pythia8_WH1500              342268
Pythia8_WH2000              342269
Pythia8_WH2400              346349
Pythia8_WH3000              346350
Pythia8_WH4000              346351
Pythia8_WH5000              346352

Pythia8_ttH40               345759
Pythia8_ttH60               342046
Pythia8_ttH80               342048
Pythia8_ttH100              342038
Pythia8_ttH120              345760
Pythia8_ttH160              345761
Pythia8_ttH200              342041
Pythia8_ttH300              342042
Pythia8_ttH400              342043
Pythia8_ttH600              342045
Pythia8_ttH800              342047
Pythia8_ttH1000             342037
Pythia8_ttH1500             342039
Pythia8_ttH2000             342040
Pythia8_ttH2400             346357
Pythia8_ttH3000             346358
Pythia8_ttH4000             346359
Pythia8_ttH5000             346360

Pythia8_G500_k001			301839
Pythia8_G1000_k001			301840
Pythia8_G2000_k001			301842
Pythia8_G3000_k001			302467
Pythia8_G4000_k001			301845
Pythia8_G5000_k001			301847
Pythia8_G6000_k001			346361
Pythia8_G7000_k001			346362
Pythia8_G500_k005			301849
Pythia8_G1000_k005			301850
Pythia8_G2000_k005			301852
Pythia8_G3000_k005			302466
Pythia8_G4000_k005			301855
Pythia8_G5000_k005			301857
Pythia8_G6000_k005			346363
Pythia8_G7000_k005			346364
Pythia8_G500_k01			302460
Pythia8_G1000_k01			302461
Pythia8_G2000_k01			302462
Pythia8_G3000_k01			302463
Pythia8_G4000_k01			302464
Pythia8_G5000_k01			302465
Pythia8_G6000_k01			346365
Pythia8_G7000_k01			346366
Pythia8_G4000_k015			346367
Pythia8_G5000_k02			346368
Pythia8_G6000_k02			346369
Pythia8_G7000_k02			346370
Pythia8_G5000_k03			346371
Pythia8_G6000_k03			346372
Pythia8_G7000_k03			346373

Pythia8_G150_k001  800541
Pythia8_G200_k001  800542
Pythia8_G300_k001  800543
Pythia8_G400_k001  800544

# bbX, ttX at high mass (ATLMCPROD-6922)
# ------------------------------------------------------------------------------

Py8_bbH180	346403
Py8_bbH250	346404
Py8_bbH500	346405
Py8_bbH750	346406
Py8_bbH1500	346407

aMCnloPy8_ttH180	346408
aMCnloPy8_ttH250	346409
aMCnloPy8_ttH500	346410
aMCnloPy8_ttH750	346411
aMCnloPy8_ttH1500	346412


# Low/high mass spin0 Madgraph NW yy
# ------------------------------------------------------------------------------

aMCnloPy8_X0toyy_40_NW        345762
aMCnloPy8_X0toyy_50_NW        345763
aMCnloPy8_X0toyy_60_NW        345764
aMCnloPy8_X0toyy_70_NW        345766
aMCnloPy8_X0toyy_80_NW        345767
aMCnloPy8_X0toyy_90_NW        345768
aMCnloPy8_X0toyy_100_NW       345769
aMCnloPy8_X0toyy_110_NW       345770
aMCnloPy8_X0toyy_120_NW       345771
aMCnloPy8_X0toyy_140_NW       345772
aMCnloPy8_X0toyy_160_NW       345773
aMCnloPy8_X0toyy_180_NW       345774
aMCnloPy8_X0toyy_200_NW       344181
aMCnloPy8_X0toyy_400_NW       344182
aMCnloPy8_X0toyy_800_NW       344184
aMCnloPy8_X0toyy_1000_NW      344185
aMCnloPy8_X0toyy_1200_NW      344186
aMCnloPy8_X0toyy_1600_NW      344187
aMCnloPy8_X0toyy_2000_NW      344188
aMCnloPy8_X0toyy_2400_NW      344189
aMCnloPy8_X0toyy_3000_NW      346201
aMCnloPy8_X0toyy_4000_NW      346202
aMCnloPy8_X0toyy_5000_NW      346203


# Low/high mass spin0 Madgraph W5p, W2p, W6p, W10p yy
# ------------------------------------------------------------------------------
aMCnloPy8_X0toyy_60_W5p         345765
aMCnloPy8_X0toyy_200_W2p	344190
aMCnloPy8_X0toyy_400_W2p	344191
aMCnloPy8_X0toyy_800_W2p	344193
aMCnloPy8_X0toyy_1000_W2p	344194
aMCnloPy8_X0toyy_1200_W2p	344195
aMCnloPy8_X0toyy_1600_W2p	344196
aMCnloPy8_X0toyy_2000_W2p	344197
aMCnloPy8_X0toyy_2400_W2p	344198
aMCnloPy8_X0toyy_3000_W2p	346204
aMCnloPy8_X0toyy_4000_W2p	346205
aMCnloPy8_X0toyy_5000_W2p	346206
aMCnloPy8_X0toyy_200_W6p	344199
aMCnloPy8_X0toyy_400_W6p	344200
aMCnloPy8_X0toyy_800_W6p	344202
aMCnloPy8_X0toyy_1000_W6p	344203
aMCnloPy8_X0toyy_1200_W6p	344204
aMCnloPy8_X0toyy_1600_W6p	344205
aMCnloPy8_X0toyy_2000_W6p	344206
aMCnloPy8_X0toyy_2400_W6p	344207
aMCnloPy8_X0toyy_3000_W6p	346207
aMCnloPy8_X0toyy_4000_W6p	346208
aMCnloPy8_X0toyy_5000_W6p	346209
aMCnloPy8_X0toyy_200_W10p	344208
aMCnloPy8_X0toyy_400_W10p	344209
aMCnloPy8_X0toyy_800_W10p	344211
aMCnloPy8_X0toyy_1000_W10p      344212
aMCnloPy8_X0toyy_1200_W10p      344213
aMCnloPy8_X0toyy_1600_W10p      344214
aMCnloPy8_X0toyy_2000_W10p      344215
aMCnloPy8_X0toyy_2400_W10p      344216
aMCnloPy8_X0toyy_3000_W10p	346210
aMCnloPy8_X0toyy_4000_W10p	346211
aMCnloPy8_X0toyy_5000_W10p	346212


# Very low mass
# ------------------------------------------------------------------------------
MGPy8EG_012j_X0toyy_10_NW		346648
MGPy8EG_012j_X0toyy_15_NW		346649
MGPy8EG_012j_X0toyy_20_NW		346650
MGPy8EG_012j_X0toyy_25_NW		346651
MGPy8EG_012j_X0toyy_30_NW		346652
MGPy8EG_012j_X0toyy_35_NW		346653
MGPy8EG_012j_X0toyy_40_NW		346654
MGPy8EG_012j_X0toyy_45_NW		346655
MGPy8EG_012j_X0toyy_50_NW		346656
MGPy8EG_012j_X0toyy_55_NW		346657
MGPy8EG_012j_X0toyy_60_NW		346658
MGPy8EG_012j_X0toyy_65_NW		346659
MGPy8EG_012j_X0toyy_70_NW		346660
MGPy8EG_012j_X0toyy_75_NW		346661
MGPy8EG_012j_X0toyy_80_NW		346662
MGPy8EG_012j_X0toyy_85_NW		346663
MGPy8EG_012j_X0toyy_90_NW		346664


# SUSY C1N2Wh
# ------------------------------------------------------------------------------
MGPy8_C1N2_Wh_hgg_150p0_0p0_all 394864
MGPy8_C1N2_Wh_hgg_200p0_0p0_all 394865
MGPy8_C1N2_Wh_hgg_300p0_0p0_all 394866
MGPy8_C1N2_Wh_hgg_400p0_0p0_all 394867
MGPy8_C1N2_Wh_hgg_500p0_0p0_all 394868
MGPy8_C1N2_Wh_hgg_600p0_0p0_all 394869

MGPy8_C1N2_Wh_hgg_150p0_22p0_all 394879
MGPy8_C1N2_Wh_hgg_300p0_100p0_all 394870
MGPy8_C1N2_Wh_hgg_400p0_200p0_all 394871
MGPy8_C1N2_Wh_hgg_400p0_272p0_all 394880
MGPy8_C1N2_Wh_hgg_600p0_472p0_all 394881


# SUSY GGMHinohyy
# ------------------------------------------------------------------------------

